Date,Time,Activity,Level
"Oct 11, 2025",2:00 PM - 5:00 PM,Foundations of BP Debate,Beginner
"Oct 18, 2025",2:00 PM - 5:00 PM,Roles & Case Construction,Beginner
"Oct 25, 2025",2:00 PM - 5:00 PM,Argumentation & Rebuttal,Beginner
"Nov 01, 2025",2:00 PM - 5:00 PM,Advanced Rebuttal & Clash,Advanced
"Nov 08, 2025",2:00 PM - 5:00 PM,Value Frameworks (Ethics),Beginner
"Nov 15, 2025",2:00 PM - 5:00 PM,Justice & Cultural Constructs,Advanced
"Nov 22, 2025",2:00 PM - 5:00 PM,Policy & Governance Systems,Beginner
"Nov 29, 2025",2:00 PM - 5:00 PM,Economic Theories in Debate,Advanced
"Dec 06, 2025",2:00 PM - 5:00 PM,International Relations & Ideologies,Beginner
"Dec 13, 2025",2:00 PM - 5:00 PM,Strategy & Extensions,Advanced
"Dec 20, 2025",2:00 PM - 5:00 PM,Whips & Team Dynamics,Advanced
"Jan 10, 2026",2:00 PM - 5:00 PM,Tournament Simulation & Feedback,Advanced
